gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,overall_avg
male,group b,high school,standard,none,59.0,58.0,47.0,54.67
female,group c,some college,standard,completed,70.0,72.0,76.0,72.67
male,group b,associate's degree,standard,completed,82.0,84.0,78.0,81.33
male,group e,associate's degree,free/reduced,none,90.0,90.0,82.0,87.33
female,group c,bachelor's degree,free/reduced,none,43.0,62.0,61.0,55.33
male,group c,some college,free/reduced,none,80.0,64.0,66.0,70.0
male,group d,some college,standard,none,81.0,82.0,84.0,82.33
male,group c,some high school,standard,none,57.0,61.0,54.0,57.33
female,group d,some high school,standard,none,59.0,72.0,80.0,70.33
female,group d,associate's degree,standard,none,64.0,76.0,74.0,71.33
male,group c,bachelor's degree,standard,completed,63.0,64.0,66.0,64.33
female,group e,bachelor's degree,standard,completed,71.0,70.0,70.0,70.33
female,group b,high school,free/reduced,none,64.0,73.0,71.0,69.33
male,group d,bachelor's degree,free/reduced,none,55.0,46.0,44.0,48.33
female,group e,associate's degree,standard,none,51.0,51.0,54.0,52.0
female,group c,associate's degree,standard,completed,62.0,76.0,80.0,72.67
female,group e,associate's degree,standard,completed,93.0,100.0,95.0,96.0
male,group c,high school,free/reduced,none,54.0,72.0,59.0,61.67
female,group d,some college,free/reduced,none,69.0,65.0,74.0,69.33
male,group d,high school,free/reduced,none,44.0,51.0,48.0,47.67
female,group e,some college,standard,completed,86.0,85.0,91.0,87.33
female,group e,associate's degree,standard,none,85.0,92.0,85.0,87.33
female,group a,master's degree,free/reduced,none,50.0,67.0,73.0,63.33
male,group d,some high school,standard,completed,88.0,74.0,75.0,79.0
female,group e,associate's degree,standard,none,59.0,62.0,69.0,63.33
female,group e,some high school,free/reduced,none,32.0,34.0,38.0,34.67
male,group b,high school,free/reduced,none,36.0,29.0,27.0,30.67
female,group b,some high school,free/reduced,completed,63.0,78.0,79.0,73.33
male,group d,associate's degree,standard,completed,67.0,54.0,63.0,61.33
female,group d,some high school,standard,completed,65.0,78.0,82.0,75.0
male,group d,master's degree,standard,none,85.0,84.0,89.0,86.0
female,group c,master's degree,standard,none,73.0,78.0,74.0,75.0
female,group a,high school,free/reduced,completed,34.0,48.0,41.0,41.0
female,group d,bachelor's degree,free/reduced,completed,93.0,100.0,100.0,97.67
female,group d,some high school,free/reduced,none,67.0,84.0,84.0,78.33
male,group d,some college,standard,none,88.0,77.0,77.0,80.67
male,group b,high school,standard,none,57.0,48.0,51.0,52.0
female,group d,some college,standard,completed,79.0,84.0,91.0,84.67
female,group c,bachelor's degree,free/reduced,none,67.0,75.0,72.0,71.33
male,group e,bachelor's degree,standard,completed,70.0,64.0,70.0,68.0
male,group d,bachelor's degree,free/reduced,none,50.0,42.0,48.0,46.67
female,group a,some college,standard,none,69.0,84.0,82.0,78.33
female,group c,bachelor's degree,standard,completed,52.0,61.0,66.0,59.67
female,group c,bachelor's degree,free/reduced,completed,47.0,62.0,66.0,58.33
female,group b,associate's degree,free/reduced,none,46.0,61.0,55.0,54.0
female,group e,some college,standard,none,68.0,70.0,66.0,68.0
male,group e,bachelor's degree,standard,completed,100.0,100.0,100.0,100.0
female,group c,high school,standard,none,44.0,61.0,52.0,52.33
female,group c,associate's degree,standard,completed,57.0,77.0,80.0,71.33
male,group b,some college,standard,completed,91.0,96.0,91.0,92.67
male,group d,high school,free/reduced,none,69.0,70.0,67.0,68.67
female,group c,high school,free/reduced,none,35.0,53.0,46.0,44.67
male,group d,high school,standard,none,72.0,66.0,66.0,68.0
female,group b,associate's degree,free/reduced,none,54.0,65.0,65.0,61.33
male,group d,high school,free/reduced,none,74.0,70.0,69.0,71.0
male,group e,some high school,standard,completed,74.0,64.0,60.0,66.0
male,group e,associate's degree,free/reduced,none,64.0,56.0,52.0,57.33
female,group d,high school,free/reduced,completed,65.0,61.0,71.0,65.67
male,group e,associate's degree,free/reduced,completed,46.0,43.0,44.0,44.33
female,group c,some high school,free/reduced,none,48.0,56.0,51.0,51.67
male,group c,some college,free/reduced,completed,67.0,74.0,70.0,70.33
male,group d,some college,free/reduced,none,62.0,57.0,62.0,60.33
male,group d,associate's degree,free/reduced,completed,61.0,71.0,73.0,68.33
male,group c,bachelor's degree,free/reduced,completed,70.0,75.0,74.0,73.0
male,group c,associate's degree,standard,completed,98.0,87.0,90.0,91.67
male,group d,some college,free/reduced,none,70.0,63.0,58.0,63.67
male,group a,associate's degree,standard,none,67.0,57.0,53.0,59.0
female,group e,high school,free/reduced,none,57.0,58.0,57.0,57.33
male,group d,some college,standard,completed,85.0,81.0,85.0,83.67
male,group d,some high school,standard,completed,77.0,68.0,69.0,71.33
male,group c,master's degree,free/reduced,completed,72.0,66.0,72.0,70.0
female,group d,master's degree,standard,none,78.0,91.0,96.0,88.33
male,group c,high school,standard,none,81.0,66.0,64.0,70.33
male,group a,some high school,free/reduced,completed,61.0,62.0,61.0,61.33
female,group b,high school,standard,none,58.0,68.0,61.0,62.33
female,group c,associate's degree,standard,none,54.0,61.0,58.0,57.67
male,group b,high school,standard,none,82.0,82.0,80.0,81.33
female,group d,some college,free/reduced,none,49.0,58.0,60.0,55.67
male,group b,some high school,free/reduced,completed,49.0,50.0,52.0,50.33
female,group e,high school,free/reduced,completed,57.0,75.0,73.0,68.33
male,group e,high school,standard,none,94.0,73.0,71.0,79.33
female,group d,some college,standard,completed,75.0,77.0,83.0,78.33
female,group e,some high school,free/reduced,none,74.0,74.0,72.0,73.33
male,group c,high school,standard,completed,58.0,52.0,54.0,54.67
female,group c,some college,standard,none,62.0,69.0,69.0,66.67
male,group e,associate's degree,standard,none,72.0,57.0,62.0,63.67
male,group c,some college,standard,none,84.0,87.0,81.0,84.0
female,group d,master's degree,standard,none,92.0,100.0,100.0,97.33
female,group d,high school,standard,none,45.0,63.0,59.0,55.67
male,group c,high school,standard,none,75.0,81.0,71.0,75.67
female,group a,some college,standard,none,56.0,58.0,64.0,59.33
female,group d,some high school,free/reduced,none,48.0,54.0,53.0,51.67
female,group e,associate's degree,standard,none,100.0,100.0,100.0,100.0
female,group c,some high school,free/reduced,completed,65.0,76.0,75.0,72.0
male,group d,some college,standard,none,72.0,57.0,58.0,62.33
female,group d,some college,standard,none,62.0,70.0,72.0,68.0
male,group a,some high school,standard,completed,66.0,68.0,64.0,66.0
male,group c,some college,standard,none,63.0,63.0,60.0,62.0
female,group e,associate's degree,standard,none,68.0,76.0,67.0,70.33
female,group b,bachelor's degree,standard,none,75.0,84.0,80.0,79.67
female,group d,bachelor's degree,standard,none,89.0,100.0,100.0,96.33
male,group c,some high school,standard,completed,78.0,72.0,69.0,73.0
female,group a,high school,free/reduced,completed,53.0,50.0,60.0,54.33
female,group d,some college,free/reduced,none,49.0,65.0,61.0,58.33
female,group a,some college,standard,none,54.0,63.0,67.0,61.33
female,group c,some college,standard,completed,64.0,82.0,77.0,74.33
male,group b,some college,free/reduced,completed,60.0,62.0,60.0,60.67
male,group c,associate's degree,standard,none,62.0,65.0,58.0,61.67
male,group d,high school,standard,completed,55.0,41.0,48.0,48.0
female,group c,associate's degree,standard,none,91.0,95.0,94.0,93.33
female,group b,high school,free/reduced,none,8.0,24.0,23.0,18.33
male,group d,some high school,standard,none,81.0,78.0,78.0,79.0
male,group b,some high school,standard,completed,79.0,85.0,86.0,83.33
female,group a,some college,standard,completed,78.0,87.0,91.0,85.33
female,group c,some high school,standard,none,74.0,75.0,82.0,77.0
male,group a,high school,standard,none,57.0,51.0,54.0,54.0
female,group c,associate's degree,standard,none,40.0,59.0,51.0,50.0
male,group e,some high school,standard,completed,81.0,75.0,76.0,77.33
female,group a,some high school,free/reduced,none,44.0,45.0,45.0,44.67
female,group d,some college,free/reduced,completed,67.0,86.0,83.0,78.67
male,group e,high school,free/reduced,completed,86.0,81.0,75.0,80.67
female,group b,some high school,standard,completed,65.0,82.0,78.0,75.0
female,group d,associate's degree,free/reduced,none,55.0,76.0,76.0,69.0
female,group d,bachelor's degree,free/reduced,none,62.0,72.0,74.0,69.33
male,group a,high school,standard,none,63.0,63.0,62.0,62.67
female,group e,master's degree,standard,completed,88.0,99.0,95.0,94.0
male,group c,high school,free/reduced,none,62.0,55.0,55.0,57.33
female,group c,high school,free/reduced,completed,59.0,71.0,65.0,65.0
female,group d,some college,standard,completed,68.0,78.0,77.0,74.33
female,group d,some college,free/reduced,none,77.0,86.0,86.0,83.0
